companyShortName,positionName,education,workYear,coooooooompanyFullName,positionAdvantage,salary,city,linestaion,companySize,financeStage
猿辅导,前端工程师,本科,1-3年,,业务发展稳健 快速成长路径 丰富的团队活动,20k-35k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京,500-2000人,D轮及以上
极晨智道信息技术有限公司,web前端开发工程师,本科,3-5年,,"带薪年假,节日礼品,五险一金,多种补助",8k-16k,北京,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,150-500人,未融资
天广汇通,WEB前端开发,本科,5-10年,,"五险一金,补充医疗险,定期体检,餐补",10k-20k,北京,6号线_慈寿寺;10号线_慈寿寺;10号线_车道沟,50-150人,不需要融资
通恒科技,Web前端工程师,本科,5-10年,,"五险一金,双休,年底双薪,项目奖金",20k-30k,北京,2号线_安定门;2号线_雍和宫;2号线_东直门;5号线_北新桥;5号线_雍和宫;5号线_和平里北街;13号线_柳芳;13号线_东直门;机场线_东直门,50-150人,不需要融资
作业帮,WEB前端Leader,本科,3-5年,,前端负责人,22k-35k,北京,13号线_西二旗;昌平线_西二旗,500-2000人,C轮
阿里巴巴—高德,Web前端开发高级工程师/专家,本科,3-5年,,地图专家， 阿里平台， 年底双薪,20k-40k,北京,13号线_望京西;14号线东段_东湖渠;14号线东段_望京;14号线东段_阜通;15号线_望京;15号线_望京西,2000人以上,上市公司
北京中铁信,高级web前端工程师,本科,3-5年,,五险一金、福利好、弹性工作,9k-18k,北京,10号线_车道沟;10号线_长春桥,50-150人,不需要融资
销售易,web前端经理,本科,5-10年,,周末双休 五险一金 年底双薪 发展空间大,30k-50k,北京,6号线_呼家楼;6号线_东大桥;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,D轮及以上
国信慧丰,web前端开发,本科,3-5年,,"好领导,扁平化管理,新技术趋势,研究型团队",12k-18k,北京,13号线_上地,50-150人,未融资
宜信,前端开发,本科,3-5年,,"行业top,加班少,六险一金,团队氛围好",20k-35k,北京,1号线_大望路;1号线_四惠;6号线_金台路;14号线东段_金台路;14号线东段_大望路,2000人以上,上市公司
丽兹行,前端开发,本科,3-5年,,"六险一金,新技术,新项目,技术大牛",20k-35k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,500-2000人,不需要融资
广安车联,web前端,本科,3-5年,,双休 五险一金,15k-20k,北京,1号线_永安里;1号线_国贸;1号线_大望路;10号线_金台夕照;10号线_国贸;10号线_双井;14号线东段_大望路,150-500人,上市公司
恒昌利通,高级WEB前端开发工程师/架构师,本科,5-10年,,大平台、BAT大牛团队、晋升空间大,20k-40k,北京,,2000人以上,不需要融资
SenseTime,Web前端高级工程师,本科,3-5年,,"免费健身,水果多多,丰富零食,奋斗团队",20k-35k,北京,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口,500-2000人,B轮
东方国信,web前端开发工程师,本科,3-5年,,年底双薪，有项目奖金，丰富团建活动,8k-12k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,上市公司
中化能源互联网科技,WEB前端工程师,本科,1-3年,,"充分授权,管理简化,体制创新,目标导向",20k-30k,北京,,2000人以上,不需要融资
阿里影业,阿里影业-前端开发工程师,本科,3-5年,,"迅速成长,团队牛人多",15k-30k,北京,,2000人以上,上市公司
搜狐媒体,【社招】【搜狐大数据中心】前端开发工程师,本科,不限,,晋升空间大&amp;15天带薪年假&amp;团队氛围好,15k-30k,北京,,2000人以上,上市公司
飞驰镁物,Web前端工程师,不限,3-5年,,年底双薪 弹性工时 五险一金,10k-15k,北京,7号线_化工;7号线_百子湾,50-150人,A轮
京东商城,前端开发工程师,本科,5-10年,,"牛人多,环境好,福利好",20k-40k,北京,8号线_奥林匹克公园;8号线_森林公园南门;15号线_奥林匹克公园,2000人以上,上市公司
云帐房,web前端工程师,本科,3-5年,,老板nice,15k-30k,北京,1号线_建国门;2号线_朝阳门;2号线_建国门;5号线_灯市口;6号线_朝阳门,150-500人,B轮
美味生活,web前端工程师,本科,不限,,"可持续发展,晋升迅速,紧邻地铁,互联大咖",10k-20k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,500-2000人,A轮
丽兹行,前端,本科,3-5年,,"新项目,技术大牛,新型技术,高薪",20k-35k,北京,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,500-2000人,不需要融资
Gridsum 国双,高级web前端工程师（北京）,本科,3-5年,,六险一金、弹性工作、奖金丰厚、技术牛人多,15k-30k,北京,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,500-2000人,上市公司
